servername,instanceid,servertype
EUWETTMN15DB1,i-0e379c001972abff0,db
EUWETTMN15DB13,i-071dee62dfde6de4e,db
EUWETTMN15DB3,i-05b13f4d704973faf,db
EUWETTMN15DB4,i-0ede67b9ea392361b,db
EUWETTMN16DB2,i-0eabdb72612143dfe,db
EUWETTMN2DB1,i-02e598ea83045c6cc,db
EUCEDRMN10DB1,i-0e04962ecec04f1ab,db
EUCEDRMN15DB1,i-0ef27509ed65d6fad,db
EUCEDRMN15DB2,i-0368faff2afdbf0e3,db
EUCEDRMN2DB1,i-061588e0182b9edca,db
EUCEDRMN3DB1,i-0aa47eb2aa584a1e1,db
EUCEDRMN4DB1,i-0592bd85956cc9f32,db
EUCEDRMN9DB1,i-0ceb94ce3a42284ec,db
EUCEDRMN9DB12,i-04b711913618d5b17,db
EUCEINMN6DB1,i-060eaeb41933dfa8f,db
EUWETTMN2DB13,i-09ddef285d56b162a,db
EUWETTMN2DB3,i-03d710c3,db
EUWETTMN3DB13,i-0635d9d1900b40cdf,db
EUWETTMN3DB4,i-07dca389888e310ad,db
EUWETTMN3DB6,i-0043120674df29fe6,db
EUWETTMN4DB1,i-0cd64b7a37f2618b3,db
EUWETTMN4DB3,i-0c92165c40db77b5b,db
EUWEDVMN10DB1,i-04a126007854f26d4,db
EUWEDVMN10DB13,i-08e6617c30a79839c,db
EUWEDVMN10DB3,i-09d8afc0e243a4637,db
EUWEDVMN10DB4,i-080d80592e4eba98e,db
EUWETTMN9DB6,i-065ebc5dbce834317,db
EUWETTMN9DB9,i-0fffee0407cde1743,db
EUWEDVMN15DB1,i-01453bfedd4f9d2e8,db
EUWEDVMN15DB13,i-0e6066706d2f95631,db
EUWEDVMN15DB3,i-01fe11da321e64717,db
EUWEDVMN15DB4,i-0c717a6fe86e83ef5,db
EUWEDVMN16DB2,i-01fae7ddba1b48b74,db
EUWEDVMN2DB1,i-0ed7a16d374d622e0,db
EUWEDVMN2DB13,i-082d8cf1aaffcba6c,db
EUWEDVMN2DB3,i-04744561f4d06acf7,db
EUWEDVMN2DB9,i-098cce749dff1f21b,db
EUWEDVMN3DB1,i-089adbcfbe19d9bf9,db
EUWEDVMN3DB13,i-056a1ab37df75fa92,db
EUWEDVMN4DB1,i-0c13f8cd8cb679ebf,db
EUWEDVMN4DB3,i-0e4ba9d7e975ccec7,db
EUWEDVMN9DB12,i-0d6c5289bdc6212d2,db
EUWEDVMN9DB6,i-01ea288a8b9efd3ac,db
EUWEINMN6DB10,i-0a3e77cf0c02fa22c,db
EUWEINMN6DB2,i-024a53e44ca01f75e,db
EUWEINMN6DB9,i-0a46b215d56a3c6bd,db
EUWEPDMN10CADB2,i-01cc3786d978367ad,db
EUWEPDMN10DB1,i-0cd2ef55cd56b77e8,db
EUWEPDMN10DB13,i-04fddadd59794ef40,db
EUWEPDMN10DB2,i-0bd34503597369421,db
EUWEPDMN10DB3,i-056da9399d3fcf27c,db
EUWEPDMN15DB1,i-0345a0029bbcd6b6b,db
EUWEPDMN15DB13,i-0b92efbd4f69fc624,db
EUWEPDMN15DB2,i-0b1015d0510dec68b,db
EUWEPDMN15DB3,i-0566aa18aea128dc3,db
EUWEPDMN15DB4,i-010c7c78a3cc31c00,db
EUWEPDMN15DB5,i-0f4d2075e7a7b7d0a,db
EUWEPDMN16DB3,i-06797fab21dc6e4a9,db
EUWEPDMN16DB4,i-0330b63381e05c4fa,db
EUWEPDMN2DB1,i-0bc8ae4f76a54ac39,db
EUWEPDMN2DB13,i-0d14e9cadaf9b44aa,db
EUWEPDMN2DB2,i-0d024c78d5f5a7c30,db
EUWEPDMN2DB3,i-0262f99f4a9b0cc59,db
EUWEPDMN3DB1,i-0802d60fd4bb41193,db
EUWEPDMN3DB13,i-0f032e87f5088f3af,db
EUWEPDMN3DB2,i-0487b84ad46cb1400,db
EUWEPDMN4DB1,i-0baf27f641251bf87,db
EUWEPDMN4DB2,i-052466e7880155ca2,db
EUWEPDMN4DB3,i-0423ae57282916f02,db
EUWEPDMN9DB12,i-058545eb781ddf546,db
EUWEPDMN9DB13,i-08bc66e4cb55feb68,db
EUWEPDMN9DB4,i-04f9aa8c59d3120ef,db
EUWEPDMN9DB5,i-07c6f60fe5a4d9f89,db
EUWEPOCMNX4DB11,i-0c7d94b39a9014c51,db
EUWEPOCMNX4DB12,i-01545a019ed08c541,db
EUWETTMN10DB1,i-0e369bcdbc51e9ede,db
EUWETTMN10DB13,i-095f01cea1c90b821,db
EUWETTMN10DB3,i-01d63f492f66adecf,db
