servername,instanceid,servertype
EUWEDVMN4DB1,i-0c13f8cd8cb679ebf,DB
EUWEDVMN4DB3,i-0e4ba9d7e975ccec7,DB
EUWEDVMN7DB1,i-04bc8cd8f14efec71,DB
EUWEDVMN7DB10,i-0b764a52616ef138f,DB
EUWEDVMN7DB5,i-0b85f7421c3c24d40,DB
EUWEDVMN7DB6,i-02ece46e8a370a955,DB
EUWEDVMN7DB8,i-0da525a1fbe17c64f,DB
EUWEDVMN7DB9,i-060a499ca1d5d8159,DB
EUWEDVMN8DB1,i-0a8315b8f91aba595,DB
EUWEDVMN8DB3,i-03b4fd2f4c89df7ff,DB
EUWEDVMN9DB12,i-0d6c5289bdc6212d2,DB
EUWEDVMN9DB4,i-0614ec0a2ba41268e,DB
EUWEDVMN9DB6,i-01ea288a8b9efd3ac,DB
EUWEDVMN9DB7,i-0bfeb462cb01a8570,DB
EUWEDVMN9DB8,i-0c2ae5f618837c251,DB
EUWEDVMN9DB9,i-0d3e303dc60d2188d,DB
EUWEINMN6DB10,i-0a3e77cf0c02fa22c,DB
EUWEINMN6DB11,i-0795631eaf3b0f7b3,DB
EUWEINMN6DB12,i-064a7993dce411f21,DB
EUWEINMN6DB2,i-024a53e44ca01f75e,DB
EUWEINMN6DB3,i-0599751256276e388,DB
EUWEINMN6DB4,i-04e52b626638556af,DB
EUWEINMN6DB9,i-0a46b215d56a3c6bd,DB
EUWEPDMN10CADB2,i-01cc3786d978367ad,DB
EUWEPDMN10DB1,i-0ba51a51de0b54124,DB
EUWEPDMN10DB13,i-04fddadd59794ef40,DB
EUWEPDMN10DB2,i-0bd34503597369421,DB
EUWEPDMN10DB3,i-056da9399d3fcf27c,DB
EUWEPDMN15DB1,i-0345a0029bbcd6b6b,DB
EUWEPDMN15DB13,i-0b92efbd4f69fc624,DB
EUWEPDMN15DB2,i-0b1015d0510dec68b,DB
EUWEPDMN15DB3,i-0566aa18aea128dc3,DB
EUWEPDMN15DB4,i-010c7c78a3cc31c00,DB
EUWEPDMN15DB5,i-09576cc78cabd10af,DB
EUWEPDMN16DB3,i-06797fab21dc6e4a9,DB
EUWEPDMN16DB4,i-0330b63381e05c4fa,DB
EUWEPDMN16DB5,i-0fcd73d9625de4892,DB
EUWEPDMN16DB6,i-0f856b355c401c599,DB
EUWEPDMN2DB1,i-0bc8ae4f76a54ac39,DB
EUWEPDMN2DB13,i-0d14e9cadaf9b44aa,DB
EUWEPDMN2DB2,i-0d024c78d5f5a7c30,DB
EUWEPDMN2DB3,i-0262f99f4a9b0cc59,DB
EUWEPDMN2DB7,i-0d0b3d293f21f553e,DB
EUWEPDMN2DB8,i-0a87494622c194edc,DB
EUWEPDMN2DB9,i-0794eed42a3a9fc77,DB
EUWEPDMN4DB1,i-0baf27f641251bf87,DB
EUWEPDMN4DB2,i-052466e7880155ca2,DB
EUWEPDMN4DB3,i-0423ae57282916f02,DB
EUWEPDMN7DB10,i-041ad880b1dfe108a,DB
EUWEPDMN7DB11,i-0b7d0c004ab9535d5,DB
EUWEPDMN7DB4,i-0a90b64ecadb4df7a,DB
EUWEPDMN7DB5,i-0c6bfe72fd9f9fd3e,DB
EUWEPDMN7DB7,i-08095bc723ea9d204,DB
EUWEPDMN7DB8,i-0480dd495c0e9987c,DB
EUWEPDMN7DB9,i-0eb3a3d092eff61eb,DB
EUWEPDMN8DB1,i-00b878157058d876d,DB
EUWEPDMN8DB2,i-0495d78901ad998c5,DB
EUWEPDMN8DB3,i-03206b0bc77e238db,DB
EUWEPDMN9DB10,i-070395a54e6a08df7,DB
EUWEPDMN9DB11,i-0cb9e3247cc16e8aa,DB
EUWEPDMN9DB12,i-058545eb781ddf546,DB
EUWEPDMN9DB13,i-08bc66e4cb55feb68,DB
EUWEPDMN9DB4,i-04f9aa8c59d3120ef,DB
EUWEPDMN9DB5,i-07c6f60fe5a4d9f89,DB
EUWEPDMN9DB7,i-0718fb580d1585bc4,DB
EUWEPDMN9DB8,i-03167454aaf617926,DB
EUWEPDMN9DB9,i-027d992ed7d150f69,DB
EUWEPOCMNX2DB1,i-0217557f3d511bebd,DB
EUWEPOCMNX2DB2,i-058c55fe3730adbaf,DB
EUWEPOCMNX4DB11,i-0c7d94b39a9014c51,DB
EUWEPOCMNX4DB12,i-01545a019ed08c541,DB
